"PartitionKey","RowKey","Timestamp","DeviceId","SensorId","Type","Unit","Value","ReceivedAtUtc"
"hivewatch-esp32-board2","202607112311510272483-e362992cc5294ac9829d474300a1ddc8","2026-07-11T23:11:51.138310+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.75","2026-07-11T23:11:51.027248+00:00"
"hivewatch-esp32-board2","202607112316509817468-818041d8014247a6858484987d1c7baf","2026-07-11T23:16:51.079208+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.75","2026-07-11T23:16:50.981746+00:00"
"hivewatch-esp32-board2","202607112321519308658-08a26cf4eca749d2bac5dd81ae7133a2","2026-07-11T23:21:52.039890+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:21:51.930865+00:00"
"hivewatch-esp32-board2","202607112326535215728-ead14656ced84535ba91f55363eb6a0d","2026-07-11T23:26:53.653709+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.75","2026-07-11T23:26:53.521572+00:00"
"hivewatch-esp32-board2","202607112331534524970-08f9336678de4c0d8fba9c0c48dd32fa","2026-07-11T23:31:53.548060+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:31:53.452497+00:00"
"hivewatch-esp32-board2","202607112336545590386-2d9ad1bc57584828a5a377ba5636aedc","2026-07-11T23:36:54.659034+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:36:54.559038+00:00"
"hivewatch-esp32-board2","202607112341548668320-c9099861dd524baf8672c9371a49363f","2026-07-11T23:41:54.974767+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:41:54.866832+00:00"
"hivewatch-esp32-board2","202607112346550631792-642fe8cb124142eca269aec6a5229266","2026-07-11T23:46:55.175774+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:46:55.063179+00:00"
"hivewatch-esp32-board2","202607112351552720724-8095bae4325148b7886d761c855af291","2026-07-11T23:51:55.371256+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:51:55.272072+00:00"
"hivewatch-esp32-board2","202607112356551143372-9a4e0d8bea384a7f8ab64499d29d6579","2026-07-11T23:56:55.215903+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:56:55.114337+00:00"
"hivewatch-esp32-board2","202607120001559227191-d78ac345ed2149cfa6ac02a00a703bb4","2026-07-12T00:01:56.026455+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-12T00:01:55.922719+00:00"
"hivewatch-esp32-board2","202607120006567801074-e3a407bfc11c449d8244a101cc07aa5e","2026-07-12T00:06:56.877202+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.63","2026-07-12T00:06:56.780107+00:00"
"hivewatch-esp32-board2","202607120011576280621-369c0d111b76477faa11f8b1063b0c8a","2026-07-12T00:11:57.727749+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.63","2026-07-12T00:11:57.628062+00:00"
"hivewatch-esp32-board2","202607120016584655189-831ac896c33a4412be70d3b351de0306","2026-07-12T00:16:58.565675+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.63","2026-07-12T00:16:58.465518+00:00"
"hivewatch-esp32-board2","202607120021598170401-cfdab1b5a73f4d97b39f7b4103dffe9b","2026-07-12T00:21:59.923943+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.63","2026-07-12T00:21:59.817040+00:00"
"hivewatch-esp32-board2","202607120026595072856-158ac1ac396c4f3ba61bf44b3fa7277b","2026-07-12T00:26:59.603531+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.63","2026-07-12T00:26:59.507285+00:00"
"hivewatch-esp32-board2","202607120032005515155-a1db12c090b246308c0ab2a1c3952be8","2026-07-12T00:32:00.642246+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-12T00:32:00.551515+00:00"
"hivewatch-esp32-board2","202607120037004746795-48b5a1afcfea45d792db906b5b232f36","2026-07-12T00:37:00.575822+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.63","2026-07-12T00:37:00.474679+00:00"
